"match_id","date","season","home_team","away_team","result","home_goals","away_goals","home_last5_win_pct","away_last5_win_pct","home_form","away_form","home_streak","away_streak","home_avg_goals_scored","away_avg_goals_scored","home_avg_goals_conceded","away_avg_goals_conceded","home_shots_avg","away_shots_avg","home_corners_avg","away_corners_avg","home_cards_avg","away_cards_avg","home_league_position","away_league_position","home_is_favorite","bet_odds_home","bet_odds_draw","bet_odds_away"
"20201104-Zaragoza-Girona",2020-11-04,"20_21","Zaragoza","Girona","D",2,2,0,0.6,0.4,2,0,0,0.2,0.8,0.8,0.8,8.4,10.6,3,2.6,1.6,2,20,12,1,2.25,3.1,3.4
"20201105-Alcorcon-Ponferradina",2020-11-05,"20_21","Alcorcon","Ponferradina","A",0,1,0,0.2,0.2,0.6,0,0,0.2,0.4,1.2,1.8,9,12,4.4,4,1.2,3.4,22,13,1,2.6,2.87,3
"20201105-Sabadell-Almeria",2020-11-05,"20_21","Sabadell","Almeria","A",1,2,0.4,0.4,1.4,1.6,2,0,0.8,1.2,1,0.8,9.2,14.4,4,5,2.2,2.6,21,14,0,3.2,2.87,2.5
"20201106-Albacete-Leganes",2020-11-06,"20_21","Albacete","Leganes","D",0,0,0.4,0.8,1.6,2.4,0,1,1.4,1,1,0.4,8.6,9.8,3.6,5,2.2,2.6,18,4,0,4,2.9,2.1
"20201107-Cartagena-Logrones",2020-11-07,"20_21","Cartagena","Logrones","A",0,1,0.4,0.4,1.6,1.4,1,2,1.8,1.2,1,1.2,8.6,9,3.6,4.2,2.8,3,8,15,1,2.15,3,3.8
"20201107-Mirandes-SpGijon",2020-11-07,"20_21","Mirandes","Sp Gijon","H",1,0,0.2,0.6,1,2,0,3,0.4,1.2,0.8,0.8,9.6,11.4,3.8,3.8,1.2,1.4,13,2,0,2.87,2.75,2.87
"20201107-Espanol-Lugo",2020-11-07,"20_21","Espanol","Lugo","H",2,1,0.6,0.8,2,2.6,2,1,1.4,1.8,0.2,0.6,9.8,9.6,4.2,2.6,2.2,2.8,1,6,1,1.44,4,8
"20201108-Sabadell-Malaga",2020-11-08,"20_21","Sabadell","Malaga","A",1,2,0.4,0.4,1.4,1.4,0,0,1,1,1,1.6,10.2,8.4,3.4,2.8,2.8,1.8,21,14,1,2.75,2.75,3
"20201108-Alcorcon-Fuenlabrada",2020-11-08,"20_21","Alcorcon","Fuenlabrada","A",0,3,0,0,0,0.6,0,0,0.2,0.4,1.4,1.4,9.4,9.8,3.6,3.6,1.6,4,22,13,1,2.62,2.9,2.9
"20201108-Vallecano-Almeria",2020-11-08,"20_21","Vallecano","Almeria","A",0,1,0.4,0.6,1.4,2.2,0,1,0.8,1.6,0.6,0.6,11.2,14.4,5.4,5,3.2,3.6,7,12,1,2,3,4.33
"20201108-Mallorca-Ponferradina",2020-11-08,"20_21","Mallorca","Ponferradina","H",3,0,0.4,0.4,1.8,1.2,0,1,1,0.6,0.2,1.4,10.4,11.8,6,3.8,2.4,3,3,12,1,1.75,3.3,5.25
"20201108-Oviedo-Castellon",2020-11-08,"20_21","Oviedo","Castellon","H",4,0,0.2,0,0.8,0,1,0,1,0.4,1.4,1.4,8.4,8,3.8,6,3.4,2.8,16,20,1,2.1,2.9,4
